DATE,MSPUS
1963,17800
1963,18000
1963,17900
1963,18500
1964,18500
1964,18900
1964,18900
1964,19400
1965,20200
1965,19800
1965,20200
1965,20300
1966,21000
1966,22100
1966,21500
1966,21400
1967,22300
1967,23300
1967,22500
1967,22900
1968,23900
1968,24900
1968,24800
1968,25600
1969,25700
1969,25900
1969,25900
1969,24900
1970,23900
1970,24400
1970,23000
1970,22600
1971,24300
1971,25800
1971,25300
1971,25500
1972,26200
1972,26800
1972,27900
1972,29200
1973,30200
1973,32700
1973,33500
1973,34000
1974,35200
1974,35600
1974,36200
1974,37200
1975,38100
1975,39000
1975,38800
1975,41200
1976,42800
1976,44200
1976,44400
1976,45500
1977,46300
1977,48900
1977,48800
1977,51600
1978,53000
1978,55300
1978,56100
1978,59000
1979,60600
1979,63100
1979,64700
1979,62600
1980,63700
1980,64000
1980,64900
1980,66400
1981,66800
1981,69400
1981,69200
1981,70400
1982,66400
1982,69600
1982,69300
1982,71600
1983,73300
1983,74900
1983,77400
1983,75900
1984,78200
1984,80700
1984,81000
1984,79900
1985,82800
1985,84300
1985,83200
1985,86800
1986,88000
1986,92100
1986,93000
1986,95000
1987,97900
1987,103400
1987,106000
1987,111500
1988,110000
1988,110000
1988,115000
1988,113900
1989,118000
1989,118900
1989,120000
1989,124800
1990,123900
1990,126800
1990,117000
1990,121500
1991,120000
1991,119900
1991,120000
1991,120000
1992,119500
1992,120000
1992,120000
1992,126000
1993,125000
1993,127000
1993,127000
1993,127000
1994,130000
1994,130000
1994,129700
1994,132000
1995,130000
1995,133900
1995,132000
1995,138000
1996,137000
1996,139900
1996,140000
1996,144100
1997,145000
1997,145800
1997,145000
1997,144200
1998,152200
1998,149500
1998,153000
1998,153000
1999,157400
1999,158700
1999,159100
1999,165300
2000,165300
2000,163200
2000,168800
2000,172900
2001,169800
2001,179000
2001,172500
2001,171100
2002,188700
2002,187200
2002,178100
2002,190100
2003,186000
2003,191800
2003,191900
2003,198800
2004,212700
2004,217600
2004,213500
2004,228800
2005,232500
2005,233700
2005,236400
2005,243600
2006,247700
2006,246300
2006,235600
2006,245400
2007,257400
2007,242200
2007,241800
2007,238400
2008,233900
2008,235300
2008,226500
2008,222500
2009,208400
2009,220900
2009,214300
2009,219000
2010,222900
2010,219500
2010,224100
2010,224300
2011,226900
2011,228100
2011,223500
2011,221100
2012,238400
2012,238700
2012,248800
2012,251700
2013,258400
2013,268100
2013,264800
2013,273600
2014,275200
2014,288000
2014,281000
2014,298900
2015,289200
2015,289100
2015,295800
2015,302500
2016,299800
2016,306000
2016,303800
2016,310900
2017,313100
2017,318200
2017,320500.0
2017,337900.0
2018,331800.0
2018,315600.0
2018,330900.0
2018,322800.0
2019,313000.0
2019,322500.0
2019,318400.0
2019,327100.0
2020,329000.0
2020,322600.0
2020,337500.0
2020,358700.0
2021,369800.0
2021,382600.0
2021,411200.0
2021,423600.0
2022,433100.0
2022,449300.0
2022,468000.0
2022,479500.0
2023,436800.0